stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
1260,,"FRUITS",,  50.837562,   4.289975,,,0
1261,,"WESTLAND SHOPPING",,  50.838484,   4.283940,,,0
1262B,,"LUXEMBOURG",,  50.840249,   4.373920,,,0
1263,,"BELLIARD",,  50.842020,   4.369789,,,0
1264,,"GUIMARD",,  50.843431,   4.370513,,,0
1265,,"ARTS-LOI",,  50.845148,   4.368639,,,0
1266B,,"JOSEPH II",,  50.845602,   4.372954,,,0
1270B,,"SCHUMAN",,  50.843017,   4.383887,,,0
1271B,,"FROISSART",,  50.840527,   4.382651,,,0
1273,,"AMBIORIX",,  50.846235,   4.383193,,,0
1278,,"LA CHASSE",,  50.829963,   4.390938,,,0
1280B,,"FLAGEY",,  50.828383,   4.373166,,,0
1283,,"BIPLAN",,  50.884371,   4.410304,,,0
1286,,"SIMONIS",,  50.863005,   4.330789,,,0
1288,,"SIMONIS",,  50.863301,   4.330614,,,0
1289,,"STADE",,  50.893809,   4.331860,,,0
1290,,"STADE",,  50.893462,   4.332132,,,0
1291,,"IDALIE",,  50.835830,   4.371133,,,0
1292,,"QUART.ST-BONIFACE",,  50.836830,   4.366028,,,0
1294,,"ROOSENDAEL",,  50.810411,   4.339952,,,0
1295,,"BENS",,  50.808589,   4.339862,,,0
1296,,"ROOSENDAEL",,  50.810222,   4.340063,,,0
1297,,"COGHEN",,  50.813448,   4.339069,,,0
1305,,"VELLEMOLEN",,  50.847230,   4.439182,,,0
1306,,"SCHWEITZER",,  50.864418,   4.297090,,,0
1306F,,"SCHWEITZER",,  50.864418,   4.297090,,,0
1307,,"SCHWEITZER",,  50.864373,   4.296735,,,0
1307F,,"SCHWEITZER",,  50.864364,   4.296721,,,0
1308G,,"SCHWEITZER",,  50.864581,   4.297151,,,0
1310,,"SCHWEITZER",,  50.864894,   4.296868,,,0
1375,,"GERGEL",,  50.851200,   4.487797,,,0
1376B,,"GRAND SABLON",,  50.841363,   4.353461,,,0
1377,,"DEUTSCHE SCHULE",,  50.852427,   4.491947,,,0
1380,,"LONG-CHENE",,  50.853330,   4.496905,,,0
1381,,"LONG-CHENE",,  50.853393,   4.496565,,,0
1387,,"DEUTSCHE SCHULE",,  50.852518,   4.490754,,,0
1391,,"ARMATEURS",,  50.864744,   4.352616,,,0
1392,,"ARMATEURS",,  50.865086,   4.351110,,,0
1402B,,"MICHEL-ANGE",,  50.845205,   4.386602,,,0
